poll_time,event_slug,event_name,matchup_id,side,selection,row_kind,book_id,book,american,move_arrow,event_date
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44398,1,Robelis Despaigne,moneyline,20,BetWay,-649,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44398,1,Robelis Despaigne,moneyline,26,Unibet,-625,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44398,2,Tai Tuivasa,moneyline,29,Kalshi,455,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44398,2,Tai Tuivasa,moneyline,21,FanDuel,360,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44398,2,Tai Tuivasa,moneyline,24,Caesars,460,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44398,2,Tai Tuivasa,moneyline,25,BetRivers,430,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44398,2,Tai Tuivasa,moneyline,20,BetWay,450,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44398,2,Tai Tuivasa,moneyline,26,Unibet,430,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,29,Kalshi,-526,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,21,FanDuel,-250,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,24,Caesars,-265,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,25,BetRivers,-265,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,20,BetWay,-250,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,26,Unibet,-265,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,2,Marlon Vera,moneyline,29,Kalshi,207,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,2,Marlon Vera,moneyline,21,FanDuel,198,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,2,Marlon Vera,moneyline,24,Caesars,215,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,2,Marlon Vera,moneyline,25,BetRivers,205,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,2,Marlon Vera,moneyline,20,BetWay,200,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44756,2,Marlon Vera,moneyline,26,Unibet,205,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,1,Brunno Ferreira,moneyline,29,Kalshi,140,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,1,Brunno Ferreira,moneyline,21,FanDuel,134,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,1,Brunno Ferreira,moneyline,24,Caesars,135,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,1,Brunno Ferreira,moneyline,25,BetRivers,123,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,1,Brunno Ferreira,moneyline,20,BetWay,130,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,1,Brunno Ferreira,moneyline,26,Unibet,123,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,2,Edmen Shahbazyan,moneyline,29,Kalshi,-168,▼,2026-09-10
