poll_time,event_slug,event_date
2026-09-01T00:03:16.176823+00:00,cffc-160-4342,2026-09-04
2026-09-01T00:03:16.176823+00:00,dwcs-week-4-2026-4339,2026-09-01
2026-09-01T00:03:16.176823+00:00,fight-club-rush-4337,2026-09-12
2026-09-01T00:03:16.176823+00:00,ksw-4308,2026-09-19
2026-09-01T00:03:16.176823+00:00,noche-ufc-4318,2026-09-13
2026-09-01T00:03:16.176823+00:00,oktagon-4317,2026-09-12
2026-09-01T00:03:16.176823+00:00,one-fight-night-47-4343,2026-09-05
2026-09-01T00:03:16.176823+00:00,one-friday-fights-169-4340,2026-09-04
2026-09-01T00:03:16.176823+00:00,samourai-mma-21-4341,2026-09-04
2026-09-01T00:03:16.176823+00:00,ufc-331-4302,2026-09-19
2026-09-01T00:03:16.176823+00:00,ufc-332-4330,2026-10-04
2026-09-01T00:03:16.176823+00:00,ufc-333-4321,2026-10-24
2026-09-01T00:03:16.176823+00:00,ufc-fight-night-4326,2026-09-05
2026-09-01T00:03:16.176823+00:00,ufc-glendale-4328,2026-09-12
2026-09-01T04:44:22.670389+00:00,brave-cf-108-4344,2026-09-05
2026-09-01T19:48:23.826759+00:00,ufc-331-4303,2026-09-10
2026-09-02T21:31:27.524621+00:00,raf-moscow-4346,2026-09-05
2026-09-04T23:44:23.339991+00:00,efc-137-4347,2026-09-10
2026-09-05T22:05:34.952632+00:00,dwcs-week-5-2026-4348,2026-09-08
2026-09-08T15:20:53.441286+00:00,super-rizin-5-4349,2026-09-10
2026-09-08T20:19:40.785619+00:00,one-friday-fights-170-4350,2026-09-11
2026-09-08T21:49:13.377772+00:00,lfa-241-4351,2026-09-11
2026-09-08T22:00:45.177693+00:00,lfa-241-4351,2026-09-11
2026-09-09T02:19:48.390808+00:00,cffc-161-4352,2026-09-12
2026-09-09T20:14:31.561618+00:00,one-samurai-3-4353,2026-09-12
2026-09-09T20:36:27.682558+00:00,aca-207-4354,2026-09-12
2026-09-10T14:33:49.192313+00:00,bare-knuckle-fc-4355,2026-09-11
2026-09-10T14:33:49.192313+00:00,bare-knuckle-fc-4356,2026-09-12
2026-09-10T22:03:21.340328+00:00,dwcs-week-6-2026-4357,2026-09-15
2026-09-11T08:11:01.781388+00:00,ufc-331-4358,2026-09-20
2026-09-12T23:22:55.915593+00:00,noche-ufc-4318,2026-09-12
2026-09-14T10:30:21.353263+00:00,dana-4359,2026-09-16
2026-09-14T18:30:31.053890+00:00,lfa-242-4361,2026-09-19
2026-09-14T18:30:31.053890+00:00,power-slap-23-4360,2026-09-18
2026-09-15T20:24:24.060966+00:00,raf-13-4362,2026-09-19
2026-09-15T22:41:19.581699+00:00,one-friday-fights-171-4363,2026-09-18
2026-09-16T20:23:53.125786+00:00,lfa-242-4364,2026-09-18
2026-09-17T10:30:51.552025+00:00,wow-fc-4365,2026-09-26
2026-09-17T20:33:41.964440+00:00,unified-mma-69-4366,2026-09-18
2026-09-17T20:43:54.714833+00:00,fury-fc-124-4367,2026-09-20
2026-09-17T22:29:22.239379+00:00,ufc-vegas-121-4368,2026-09-26
2026-09-18T17:35:41.491305+00:00,bkb-mexico-4369,2026-09-19
