poll_time,event_slug,event_name,matchup_id,side,selection,row_kind,book_id,book,american,move_arrow
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44397,2,Sean Sharaf,moneyline,24,Caesars,1000,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44397,2,Sean Sharaf,moneyline,25,BetRivers,1200,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44397,2,Sean Sharaf,moneyline,20,BetWay,1200,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44397,2,Sean Sharaf,moneyline,26,Unibet,1000,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,1,Alonzo Menifield,moneyline,29,Kalshi,198,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,1,Alonzo Menifield,moneyline,21,FanDuel,200,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,1,Alonzo Menifield,moneyline,24,Caesars,200,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,1,Alonzo Menifield,moneyline,25,BetRivers,195,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,1,Alonzo Menifield,moneyline,20,BetWay,175,
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,1,Alonzo Menifield,moneyline,26,Unibet,195,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,2,Iwo Baraniewski,moneyline,29,Kalshi,-240,
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,2,Iwo Baraniewski,moneyline,21,FanDuel,-265,▼
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,2,Iwo Baraniewski,moneyline,24,Caesars,-240,▼
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,2,Iwo Baraniewski,moneyline,25,BetRivers,-250,▼
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,2,Iwo Baraniewski,moneyline,20,BetWay,-225,
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44892,2,Iwo Baraniewski,moneyline,26,Unibet,-250,▼
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,29,Kalshi,-209,▲
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,21,FanDuel,-235,▼
2026-09-17T18:27:40.043770+00:00,ufc-331-4302,UFC 331 Odds,44756,1,Charles Jourdain,moneyline,24,Caesars,-220,▲
